"Analysis","Code","Total_spec_RT","Endemic_spec_RT","Endemic_pct_spec_RT","Total_spec_RG","Endemic_spec_RG","Endemic_pct_spec_RG"
"Original","B/V",565,20,3.5,565,3,0.5
"Original","Cau",306,47,15.4,306,4,1.3
"Original","Fr",489,53,10.8,489,6,1.2
"Original","GAP",1367,87,6.4,1367,41,3
"Original","Jp",415,267,64.3,415,68,16.4
"Original","Kam",274,136,49.6,274,8,2.9
"Original","Khi",271,67,24.7,271,3,1.1
"Original","Nor",327,22,6.7,327,9,2.8
"Original","Pyr",651,75,11.5,651,2,0.3
"Original","SN",368,193,52.4,368,127,34.5
"Original","Tat",513,26,5.1,513,21,4.1
"No_TNS","B/V",565,20,3.5,565,3,0.5
"No_TNS","Cau",306,47,15.4,306,4,1.3
"No_TNS","Fr",489,54,11,489,6,1.2
"No_TNS","GAP",1367,87,6.4,1367,41,3
"No_TNS","Jp",255,162,63.5,255,45,17.6
"No_TNS","Kam",274,141,51.5,274,8,2.9
"No_TNS","Khi",271,67,24.7,271,3,1.1
"No_TNS","Nor",327,22,6.7,327,9,2.8
"No_TNS","Pyr",651,75,11.5,651,2,0.3
"No_TNS","SN",368,193,52.4,368,127,34.5
"No_TNS","Tat",513,26,5.1,513,21,4.1
